"ID_STORE","ID_CALMONTH","COST_CATEGORY","COMMENT","VALUE"
"Freiburg im Breisgau","30.06.2024","Commission","Commission for Jan Peters, 3 %  ","2684"
"Rosenheim","30.04.2024","Monthly Salary","Monthly Salary for Andreas Miller, Mechanic, 0 %  ","417"
"Rosenheim","30.04.2024","Monthly Salary","Monthly Salary for Melanie Gabler, Student Assistant, 0 %  ","417"
"Rosenheim","30.04.2024","Monthly Salary","Monthly Salary for Helene Mauser, Cleaner, 0 %  ","458"
"Rosenheim","30.04.2024","Monthly Salary","Monthly Salary for Gerhard Winkler, Salesman, 3 %  ","2500"
"Rosenheim","30.04.2024","Monthly Salary","Monthly Salary for Jan Peters, Salesman, 3 %  ","2500"
"Rosenheim","30.04.2024","Monthly Salary","Monthly Salary for Klaus Weber, Mechanic, 0 %  ","2500"
"Rosenheim","30.04.2024","Monthly Salary","Monthly Salary for Sabine Meyer, Salesman, 3 %  ","2500"
"Rosenheim","30.04.2024","Monthly Salary","Monthly Salary for Katharina Vogel, Salesman, 3 %  ","3167"
"Rosenheim","30.04.2024","Monthly Salary","Monthly Salary for Arnim Schmidt, Salesman, 3 %  ","3250"
"Rosenheim","30.04.2024","Monthly Social Costs","Social Costs for Andreas Miller","63"
"Rosenheim","30.04.2024","Monthly Social Costs","Social Costs for Melanie Gabler","63"
"Rosenheim","30.04.2024","Monthly Social Costs","Social Costs for Helene Mauser","160"
"Rosenheim","30.04.2024","Monthly Social Costs","Social Costs for Gerhard Winkler","875"
"Rosenheim","30.04.2024","Monthly Social Costs","Social Costs for Jan Peters","875"
"Rosenheim","30.04.2024","Monthly Social Costs","Social Costs for Klaus Weber","875"
"Rosenheim","30.04.2024","Monthly Social Costs","Social Costs for Sabine Meyer","875"
"Rosenheim","30.04.2024","Monthly Social Costs","Social Costs for Katharina Vogel","1108"
"Rosenheim","30.04.2024","Monthly Social Costs","Social Costs for Arnim Schmidt","1138"
"Rosenheim","30.04.2024","Monthly Rent","Rent for Store","10800"
